dataset,image,sigma,realization,method,psnr,ssim,runtime
BSD68,test044.png,10,1,adaptive,23.0245419535179,0.642937416273409,8.0112113
BSD68,test044.png,10,1,bilateral,29.3286248449325,0.8781837668354,0.7069666
BSD68,test044.png,10,1,guided,27.9855247436372,0.852523756546698,0.0131164
BSD68,test044.png,10,1,l0,20.8289938879021,0.48058108563279,2.7218725
BSD68,test044.png,10,1,lgss,25.4962698949,0.7595715757,3.7122304
BSD68,test044.png,10,1,original,19.1188771179386,0.402914045212417,8.4008513
BSD68,test044.png,10,1,tv,17.7486456566,0.3598028832,0.9800863
BSD68,test045.png,10,1,adaptive,20.6131440387291,0.707005936978744,7.2188708
BSD68,test045.png,10,1,bilateral,33.6228726547134,0.861828522551795,0.5297079
BSD68,test045.png,10,1,guided,32.6125004443679,0.847289895694379,0.0090145
BSD68,test045.png,10,1,l0,19.8568835335135,0.698068528588257,2.2487816
BSD68,test045.png,10,1,lgss,27.2871491612,0.7811885929,3.8150387
BSD68,test045.png,10,1,original,20.6269890382005,0.686097338498387,6.552619
BSD68,test045.png,10,1,tv,17.0146712446,0.113932359,0.9850865
BSD68,test046.png,10,1,adaptive,23.1336739220774,0.592444981857485,4.8936588
BSD68,test046.png,10,1,bilateral,28.7069981138352,0.845222478470425,0.5596538
BSD68,test046.png,10,1,guided,27.5444252336517,0.826247657830633,0.0091318
BSD68,test046.png,10,1,l0,20.9004319481459,0.487942587787799,2.2038221
BSD68,test046.png,10,1,lgss,25.0210933342,0.6743037817,3.6497578
BSD68,test046.png,10,1,original,19.2597929417306,0.401279531965999,4.1294475
BSD68,test046.png,10,1,tv,17.8058740396,0.4285851731,0.9721811
BSD68,test047.png,10,1,adaptive,21.0743415189191,0.450200143565684,4.5823718
BSD68,test047.png,10,1,bilateral,28.5670878364948,0.833928528811883,0.5625048
BSD68,test047.png,10,1,guided,27.4778513247978,0.808683920767446,0.0082797
BSD68,test047.png,10,1,l0,19.5815159146162,0.341221059238006,2.2347735
BSD68,test047.png,10,1,lgss,24.1375694488,0.6035574488,3.743029
BSD68,test047.png,10,1,original,18.1476205825758,0.26261375066982,4.4073846
BSD68,test047.png,10,1,tv,17.4465167706,0.3701820465,1.0390992
BSD68,test048.png,10,1,adaptive,22.6812278856388,0.736592957906497,6.0455285
BSD68,test048.png,10,1,bilateral,30.8333774361623,0.914784837748787,0.6660113
BSD68,test048.png,10,1,guided,29.0249343010408,0.891702743890672,0.0120236
BSD68,test048.png,10,1,l0,21.8757536299714,0.698340622680089,2.948002
BSD68,test048.png,10,1,lgss,24.8452536925,0.8013122915,3.6740822
BSD68,test048.png,10,1,original,19.7372185446834,0.620600497896771,5.4841791
BSD68,test048.png,10,1,tv,17.8355185815,0.3466903543,0.9781093
BSD68,test049.png,10,1,adaptive,21.2540374231214,0.688940271325137,4.8567273
BSD68,test049.png,10,1,bilateral,33.0212076541883,0.85775353228105,0.5263398
BSD68,test049.png,10,1,guided,31.9324688729662,0.843640978245601,0.009571
BSD68,test049.png,10,1,l0,22.5243627388615,0.699146179340427,2.1603418
BSD68,test049.png,10,1,lgss,26.2933073844,0.7601035495,3.7947085
BSD68,test049.png,10,1,original,19.2177706253517,0.64921608066522,4.2773519
BSD68,test049.png,10,1,tv,17.4374916361,0.1516360882,0.9675109
BSD68,test050.png,10,1,adaptive,21.5157906206347,0.545345997764817,4.5048854
BSD68,test050.png,10,1,bilateral,28.926534328503,0.834306546116086,0.5465072
BSD68,test050.png,10,1,guided,27.9589778636152,0.817258083075556,0.0090307
BSD68,test050.png,10,1,l0,20.3240935924204,0.451004783164336,2.2296441
BSD68,test050.png,10,1,lgss,24.0672382099,0.6448795016,3.7919429
BSD68,test050.png,10,1,original,17.7322806244455,0.347153601499148,5.2216968
BSD68,test050.png,10,1,tv,17.7509325824,0.3670784823,0.9500739
BSD68,test051.png,10,1,adaptive,22.631764226647,0.651433169070147,4.4834154
BSD68,test051.png,10,1,bilateral,30.2041796002531,0.8600078262785,0.5288733
BSD68,test051.png,10,1,guided,28.8068911886132,0.840885637777752,0.0088025
BSD68,test051.png,10,1,l0,20.7294576203594,0.589317733810378,2.2121414
BSD68,test051.png,10,1,lgss,24.7566445232,0.702137434,3.6706209
BSD68,test051.png,10,1,original,20.9333638064797,0.572077460600029,4.0924178
BSD68,test051.png,10,1,tv,17.5808144244,0.3506616089,0.9635194
