Metric,Dataset,Sigma,Comparison,Mean_Diff,CI_Lower,CI_Upper,Std_Diff,N
SSIM,custom,25,Adaptive vs guided,0.070450201682095,0.0232696922245698,0.11763071113962,0.018992710925145,3
SSIM,custom,25,Adaptive vs l0,-0.143325304018141,-0.260975666299567,-0.0256749417367141,0.0473606441884937,3
SSIM,custom,25,Adaptive vs lgss,-0.194879123437705,-0.292396674148139,-0.0973615727272716,0.039256096893969,3
SSIM,custom,25,Adaptive vs original,-0.087008469618699,-0.241527357016393,0.0675104177789945,0.0622022227941699,3
SSIM,custom,25,Adaptive vs tv,0.350930840028962,0.284134725689974,0.417726954367949,0.0268890545089478,3
PSNR,custom,50,Adaptive vs bilateral,-1.3657526470295,-1.65081636974372,-1.08068892431528,0.114753590900308,3
PSNR,custom,50,Adaptive vs guided,-1.6935812162107,-2.14780352901175,-1.23935890340965,0.182849087090668,3
PSNR,custom,50,Adaptive vs l0,-2.41078148297427,-2.87480693537897,-1.94675603056956,0.186795381838052,3
PSNR,custom,50,Adaptive vs lgss,-1.16835706823623,-1.62738762653608,-0.709326509936384,0.184784666376815,3
PSNR,custom,50,Adaptive vs original,-2.50459892436773,-2.97882916792551,-2.03036868080996,0.190903363092391,3
PSNR,custom,50,Adaptive vs tv,1.8689851887971,1.6757908525057,2.0621795250885,0.0777711861051689,3
SSIM,custom,50,Adaptive vs bilateral,-0.0236629019248173,-0.0369270611129315,-0.0103987427367032,0.0053395426209154,3
SSIM,custom,50,Adaptive vs guided,-0.0266869962434703,-0.0387596430334306,-0.0146143494535101,0.00485989433389899,3
SSIM,custom,50,Adaptive vs l0,-0.0810725274169487,-0.0967518642567126,-0.0653931905771848,0.00631178246101187,3
SSIM,custom,50,Adaptive vs lgss,-0.06640520270432,-0.165925211349859,0.0331148059412195,0.0400621946902522,3
SSIM,custom,50,Adaptive vs original,-0.127651712685802,-0.164604178743682,-0.090699246627922,0.0148753693819346,3
SSIM,custom,50,Adaptive vs tv,0.0484640235623467,0.0209743396084059,0.0759537075162875,0.011066086966077,3
